Nom,Type,Taille,Motivation,Pourquoi ?,Produit,Secteur,URL 1,URL 2
Alan,AssurTech,,,,Complémentaire santé,HealthTech,,
Sweep,ClimateTech,,,,Carbon footprint tracking,ClimateTech,,
Greenly,ClimateTech,,,,Carbon accounting SaaS,ClimateTech,,
MoA,Wellness,,,,Santé mentale par IA,Mental Health / Wellness,,
Clue,FemTech,,,,Cycle menstruel,FemTech,,
Beem Energy,CleanTech,,,,Panneaux solaires domestiques,CleanTech / Énergie,,
Doctolib,HealthTech,,,,Plateforme de RDV médicaux,HealthTech,,
Payfit,HRTech,,,,Paie et RH simplifiés,HRTech,,
Qonto,Fintech,,,,Compte pro pour PME,FinTech,,
Strapi,DevTools,,,,Headless CMS,DevTools / B2D,,
