Nom,Type,Taille,Motivation,Pourquoi ?,Produit,URL 1,URL 2
Sorare,Blockchain gaming,,1,Blockchain = arnaque,Fantasy football NFT,,
Kinetix Tech,3D/IA,,2,,Animation 3D no-code,,
Mistral AI,AI models,,2,Hype,Modèles IA open source,,
H,AI startup,,2,Hype,Plateforme IA française,,
Datategy,Data/IA,,2,AI Hype,Plateforme de scoring prédictif,,
Entalpic,Deeptech,,2,AI Hype,Simulation matériaux IA,,
Forter,Fraude e-commerce,,2,e-commerce bof,Prévention de fraude,,
TapNation,Gaming,,2,Pas un gamer,Mobile gaming publisher,,
Zaion,IA conversationnelle,,2,AI Hype,Voicebot IA,,
Hugging Face,Open source IA,,2,AI Hype,Librairies NLP,,
Dataiku,Scale-up IA,,2,AI Hype,Plateforme data science,,
AKUR8,Startup,,2,AI Hype,Insurance pricing AI,,
Continuity,Startup,,2,AI Hype,Assurance et data IA,,
DataHawk Technologies,Éditeur SaaS,,2,ecommerce,E-commerce analytics,,
Trustt,Éditeur SaaS,,2,ecommerce,Consumer insights,,
Ynsect,AgriTech,,3,"Impact, la bouffe c'est la base",Protéines d’insectes,,
Greenly,ClimateTech,,3,Curieux d'en savoir plus,Comptabilité carbone,,
Ringover,Cloud téléphonie,,3,Curieux d'en savoir plus,Communication client + IA,,
Aircall,Cloud téléphonie,,3,Curieux d'en savoir plus,Appels VoIP pour équipes,,
Commune,Coliving,,3,Curieux d'en savoir plus,Habitat partagé nouvelle génération,,
Canary Technologies,Environnement,,3,Curieux d'en savoir plus,Surveillance environnementale,,
Pivot,Fintech,,3,Curieux d'en savoir plus,App de finance perso,,
Kard,Fintech,,3,Curieux d'en savoir plus,Banque pour ados,,
Pennylane,Fintech,,3,Curieux d'en savoir plus,Comptabilité modernisée,,
Zeffy,Marketplace,,3,Curieux d'en savoir plus,Job board no-code,,
Meero,Marketplace,,3,Curieux d'en savoir plus,Marketplace photographes,,
Collective,Marketplace B2B,,3,Curieux d'en savoir plus,Plateforme pour freelances tech,,
Ankorstore,Marketplace B2B,,3,Curieux d'en savoir plus,Grossiste digitalisé,,
Bonitasoft,Open-source,,3,Curieux d'en savoir plus,BPM open-source,,
Offishall,Remote work SaaS,,3,Curieux d'en savoir plus,Planification hybride travail,,
Mirakl,Scale-up,,3,Curieux d'en savoir plus,SaaS marketplace,,
Tanium,Sécurité IT,,3,Curieux d'en savoir plus,Gestion de postes sécurisés,,
Artifakt,Éditeur,,3,Curieux d'en savoir plus,Cloud platform for devops,,
Beetween,Éditeur SaaS,,3,Curieux d'en savoir plus,Recrutement SaaS,,
Edflex,Éditeur SaaS,,3,Curieux d'en savoir plus,Plateforme e-learning,,
Pigment,Éditeur SaaS,,3,Curieux d'en savoir plus,Planification stratégique,,
Lilt,AI Translation,,4,Polyglotte,Traduction assistée IA,,
Poolside AI,AI devtools,,4,Outils pour devs,Génération de code par IA,,
Alan,AssurTech,,4,Impact,Mutuelle moderne,,
Dashlane,Cybersecurity,,4,Produit important,Password manager,,
Edusign,EdTech,,4,Education,Gestion des présences,,
Omie & Cie,FoodTech,,4,Impact + Bouffe,Épicerie durable,,
Maki,HRTech,,4,Le CV c'est de la merde,Alternative au CV,,
Resilience,HealthTech,,4,Impact santé,Plateforme cancer patients,,
Back Market,Scale-up,,4,Entendu du bien / Meetups,Reconditionné tech,,
Strapi,Éditeur open source,,4,oui,Headless CMS,,
